Object,A,B,C,Shape,Roll,Pitch,Yaw,
pillow,15,15,6.5,-0.5,0,0,0,
chair,15,15,2,-0.5,0,0,0,
pet bed,15,15,9,-0.5,0,0,0,
trash can,15,15,1,-0.5,0,0,0,
alarm clock,15,15,5,-0.5,0,0,0,
bowl,12.5,12.5,1,-0.5,0,0,0,
soap dish,10,7.5,2.5,-0.5,0,0,0,
game,15,14.5,1.25,-0.5,0,0,0,
medium part,8,8,3.5,-0.5,0,0,0,
disk,4.5,4.5,0.6,-0.5,0,0,0,
metal rectangle,12.5,8.5,1,-0.5,0,0,0,
stuffed animal,11.5,11.5,9,0.5,0,0,0,
furniture,15,15,15,0.5,0,0,0,
knife rack,15,11.5,8,0.5,0,0,0,
knob on rod-like handle,3,3,3,0.5,0,0,0,
medium knob,3.5,3.5,3.5,0.5,0,0,0,
small drum-like part,10.5,8.5,8.5,0.5,0,0,0,
knob,3,3,3,0.5,0,0,0,
left hand,8,8,8,0.5,0,0,0,
wiper handle,15,2,2,1,0,0,0,
vacuum,15,4.5,4.5,1,0,0,0,
vacuum wires,7.5,0.5,0.5,1,0,0,0,
vacuum tube,15,4.5,4.5,1,0,0,0,
mop,15,3.5,3.5,1,0,0,0,
cord,15,0.75,0.75,1,0,0,0,
aerosol can,15,6,6,1,0,0,0,
toilet brush,15,1.5,1.5,1,0,0,0,
pen,14.5,0.9,0.9,1,0,0,0,
paper towel roll,15,9,9,1,0,0,0,
bottle,15,8,6,1,0,0,0,
glass container,13.5,7.5,7.5,1,0,0,0,
small bottle,11,3,3,1,0,0,0,
toothbrush,15,1,1,1,0,0,0,
hanger,15,0.2,0.2,1,0,0,0,
glass jar,13.5,7.5,7.5,1,0,0,0,
paper cup,10,6.5,6.5,1,0,0,0,
toilet brushholder,15,9,6.5,1,0,0,0,
power cord,15,0.9,0.9,1,0,0,0,
ironing board,15,3.5,3.5,1,0,0,0,
plastic squeeze bottle,12.5,5,3.5,1,0,0,0,
plastic cup,12.5,7,7,1,0,0,0,
cup,15,7,7,1,0,0,0,
end of hose,12.5,2.5,2.5,1,0,0,0,
scrubber,10,2,1.5,1,0,0,0,
shower head,14,3,3,1,0,0,0,
air freshener,10,4.5,4,1,0,0,0,
candle,15,9.5,9.5,1,0,0,0,
small knob,4.5,2.5,2.5,1,0,0,0,
vacuum cleaner,15,4.5,4.5,1,0,0,0,
hose,15,2.25,2.25,1,0,0,0,
toy car,15,4,4,1,0,0,0,
dish washing brush,15,1.5,1.5,1,0,0,0,
tea kettle,12.5,3,2.5,1,0,0,0,
large round plastic bottle,15,7.5,7.5,1,0,0,0,
cleaning brush,15,1.5,1.5,1,0,0,0,
rod-like handle on machine,15,1.25,1.25,1,0,0,0,
rod,15,1.25,1.25,1,0,0,0,
tool with t-shaped handle,9,1,1,1,0,0,0,
small plastic squeeze bottle,12.5,4,4,1,0,0,0,
cylindrical part on machine,12.5,5.5,5.5,1,0,0,0,
part on machine,15,9,9,1,0,0,0,
torch,15,9.5,9.5,1,0,0,0,
metal can,15,10,10,1,0,0,0,
electric tool,15,6.5,6.5,1,0,0,0,
tube,15,1,1,1,0,0,0,
drill bit,6.5,0.75,0.75,1,0,0,0,
handle,12.5,2.25,2.25,1,0,0,0,
chuck key,10,1,1,1,0,0,0,
chuck,10,1,1,1,0,0,0,
micrometer,11.5,1.75,1.75,1,0,0,0,
rod-like handle,15,1.25,1.25,1,0,0,0,
writing utensil,14.5,1,1,1,0,0,0,
screwdriver,15,3.5,3.5,1,0,0,0,
rod-like part,15,1,1,1,0,0,0,
hammer,15,2,2,1,0,0,0,
base of handle,12.5,2.5,2.5,1,0,0,0,
end mill,11.5,0.75,0.75,1,0,0,0,
large knob,4,2.5,2.5,1,0,0,0,
drill,12.5,5.5,5.5,1,0,0,0,
screw,1.5,0.75,0.75,1,0,0,0,
hex wrench,10,0.65,0.65,1,0,0,0,
mill part,12.5,5,5,1,0,0,0,
dremel,15,5.5,5.5,1,0,0,0,
metal clamp,8.5,3,3,1,0,0,0,
clamp handle,15,1,1,1,0,0,0,
machine handle,6.5,2.5,2.5,1,0,0,0,
endmill part,15,4.5,4.5,1,0,0,0,
power drill,13,5,4,1,0,0,0,
